username,feedback,score,at,app_version
Ade Hidayanto,"Aduh app-nya error mulu, ga bener.",3,2024-03-01 12:49:47,4.1.0
Hardana Pradipta,"Males banget, tiap buka loading terus.",3,2024-02-14 16:46:05,4.1.0
Atma Marpaung,"Aduh app-nya error mulu, ga bener.",1,2024-05-31 16:39:36,4.1.0
"Balamantri Firgantoro, S.T.","Layanan memuaskan, fitur lengkap.",5,2024-09-06 23:29:06,4.1.0
Tgk. Sari Waskita,"Aduh app-nya error mulu, ga bener.",3,2024-10-18 10:06:55,4.1.0
Tiara Winarno,"Payah, gk bisa dipake sama sekali.",3,2024-02-20 5:24:24,4.1.0
"Laras Siregar, S.Gz",Aplikasinya suka ngelag parah,2,2024-08-20 0:30:07,4.1.0
"T. Bagas Gunarto, S.Psi","Lancar jaya bro, gk ada error.",5,2024-01-09 0:24:42,4.1.0
"Sutan Gandi Namaga, M.M.","Payah, gk bisa dipake sama sekali.",3,2024-03-10 2:44:38,4.1.0
Puspa Sitompul,"Layanan memuaskan, fitur lengkap.",4,2024-07-22 22:07:16,4.1.0
Dt. Teddy Nashiruddin,"Gagal terus, tolong dong diperbaiki!",2,2024-04-22 14:01:58,4.1.0
Cahyanto Widiastuti,"Payah, gk bisa dipake sama sekali.",3,2024-02-27 21:14:36,4.1.0
"KH. Martaka Prabowo, S.E.I","App ini mantap betul, gk kecewa.",4,2024-09-20 22:53:45,4.1.0
"Syahrini Lazuardi, S.Ked","Males banget, tiap buka loading terus.",2,2024-10-17 4:39:42,4.1.0
T. Soleh Novitasari,"Cepat dan responsif, saya suka.",4,2024-01-24 5:20:51,4.1.0
"Puti Azalea Nasyiah, S.Ked",Aplikasinya bagus banget!,5,2024-07-20 6:08:08,4.1.0
Bagya Santoso,Aplikasinya suka ngelag parah,1,2024-09-29 11:25:47,4.1.0
Bakiono Yuniar,"Sipp, gk ada masalah, mantap.",4,2024-05-15 15:38:29,4.1.0
T. Hardana Halim,"Sering eror, ga recommended.",1,2024-08-06 12:13:44,4.1.0
Kacung Oktaviani,"Mantap, semuanya lancar.",5,2024-05-09 0:21:07,4.1.0
Nadia Mayasari,"Sering eror, ga recommended.",3,2024-05-02 17:58:12,4.1.0
Lalita Siregar,Lambat banget! ga enak dipake,2,2024-08-08 4:44:46,4.1.0
Hj. Gina Sirait,"Aduh app-nya error mulu, ga bener.",1,2024-10-01 11:24:41,4.1.0
Salsabila Jailani,"Payah, gk bisa dipake sama sekali.",1,2024-01-14 17:57:34,4.1.0
Daryani Megantara,"App-nya keren, mantul!",4,2024-08-21 6:31:03,4.1.0
KH. Maryadi Setiawan,"Gagal terus, tolong dong diperbaiki!",2,2024-01-16 10:25:24,4.1.0
Lalita Handayani,Aplikasinya suka ngelag parah,2,2024-09-16 18:55:38,4.1.0
"Tgk. Harja Wahyuni, M.M.","Aduh app-nya error mulu, ga bener.",3,2024-05-19 22:17:01,4.1.0
Sutan Cahyono Damanik,"Pokoknya juara, the best dah.",5,2024-06-17 22:39:55,4.1.0
"H. Ajiono Yuliarti, S.IP","Aduh app-nya error mulu, ga bener.",1,2024-05-07 9:50:47,4.1.0
H. Akarsana Mardhiyah,"Lemot bgt app ini, fix uninstall.",2,2024-09-28 21:35:13,4.1.0
Hamima Fujiati,"Cepat dan responsif, saya suka.",5,2024-07-20 18:56:03,4.1.0
R. Cici Kurniawan,"Gagal terus, tolong dong diperbaiki!",1,2024-06-05 3:37:50,4.1.0
Praba Yolanda,"Sering eror, ga recommended.",2,2024-02-10 18:23:26,4.1.0
Setya Rajata,Aplikasinya suka ngelag parah,3,2024-05-24 13:08:53,4.1.0
Tgk. Amelia Pratama,"Aduh app-nya error mulu, ga bener.",2,2024-05-01 23:24:46,4.1.0
"Dr. Prabawa Putra, S.Sos",Aplikasinya suka ngelag parah,1,2024-06-19 14:01:19,4.1.0
Cut Karen Hidayanto,Lambat banget! ga enak dipake,3,2024-04-24 18:13:16,4.1.0
Kayla Haryanti,Aplikasinya suka ngelag parah,1,2024-03-11 6:44:54,4.1.0
Bakijan Wulandari,"App-nya keren, mantul!",5,2024-08-21 0:53:51,4.1.0
Sabrina Suwarno,Aplikasinya suka ngelag parah,1,2024-09-19 5:00:22,4.1.0
"drg. Patricia Halimah, S.Psi",,5,2024-02-04 16:41:19,4.1.0
Gilda Winarno,Lambat banget! ga enak dipake,2,2024-09-28 21:51:42,4.1.0
Mahesa Latupono,Aplikasinya bagus banget!,4,2024-02-28 14:53:54,4.1.0
Koko Farida,"Cepat dan responsif, saya suka.",4,2024-09-12 3:29:48,4.1.0
Eva Kuswoyo,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-02-26 11:32:09,4.1.0
Puput Pradana,"App ini mantap betul, gk kecewa.",5,2024-01-13 18:43:10,4.1.0
Winda Salahudin,"Layanan memuaskan, fitur lengkap.",4,2024-05-29 5:49:32,4.1.0
Darmaji Halim,"Lancar jaya bro, gk ada error.",4,2024-06-06 10:23:08,4.1.0
"Kenes Januar, S.T.","Lemot bgt app ini, fix uninstall.",3,2024-01-04 13:34:07,4.1.0
"Nabila Aryani, S.Kom","Males banget, tiap buka loading terus.",1,2024-05-17 17:01:53,4.1.0
Maman Gunarto,"Gagal terus, tolong dong diperbaiki!",1,2024-05-22 16:13:10,4.1.0
dr. Nrima Uyainah,"Gagal terus, tolong dong diperbaiki!",2,2024-08-06 2:34:27,4.1.0
Cayadi Putra,Aplikasinya suka ngelag parah,1,2024-09-10 6:01:55,4.1.0
"Dr. Zaenab Yuniar, S.IP","Layanan memuaskan, fitur lengkap.",4,2024-08-18 10:59:52,4.1.0
"R. Okta Mayasari, S.E.","App-nya keren, mantul!",4,2024-01-30 13:05:45,4.1.0
Ajiman Pudjiastuti,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-05-05 14:09:04,4.1.0
R. Ida Tampubolon,Udah nyoba berkali-kali tetep gk bisa.,1,2024-06-14 21:12:39,4.1.0
Balijan Wibisono,Aplikasinya bagus banget!,5,2024-04-02 5:27:48,4.1.0
Ir. Anastasia Laksita,"Gak bisa checkout, tolong perbaiki dong!",3,2024-08-04 9:53:35,4.1.0
Ian Mahendra,"Layanan memuaskan, fitur lengkap.",5,2024-07-20 8:03:52,4.1.0
"Damu Wacana, S.H.",Aplikasinya suka ngelag parah,1,2024-03-28 10:27:17,4.1.0
Anastasia Saragih,"Pokoknya juara, the best dah.",4,2024-04-20 11:05:39,4.1.0
Ghaliyati Putra,"Gak bisa checkout, tolong perbaiki dong!",3,2024-04-06 6:40:34,4.1.0
Kamal Narpati,,1,2024-01-04 9:42:07,4.1.0
Waluyo Palastri,Lambat banget! ga enak dipake,2,2024-06-05 8:39:55,4.1.0
"drg. Wani Melani, S.Farm","Lemot bgt app ini, fix uninstall.",3,2024-02-10 23:36:09,4.1.0
Maryadi Oktaviani,,5,2024-08-17 13:51:32,4.1.0
Jono Utama,"App ini mantap betul, gk kecewa.",5,2024-06-09 11:21:57,4.1.0
Rahmi Haryanto,"Gak bisa checkout, tolong perbaiki dong!",2,2024-03-11 16:48:18,4.1.0
"Ir. Mariadi Hutapea, S.Farm",Lambat banget! ga enak dipake,2,2024-08-10 4:45:10,4.1.0
Saiful Gunawan,Aplikasinya bagus banget!,4,2024-03-30 2:11:15,4.1.0
"Ade Natsir, M.TI.",Aplikasinya suka ngelag parah,1,2024-08-30 19:05:09,4.1.0
Artanto Wibisono,Udah nyoba berkali-kali tetep gk bisa.,2,2024-09-19 2:12:04,4.1.0
Jelita Iswahyudi,"Lancar jaya bro, gk ada error.",5,2024-07-16 20:22:15,4.1.0
Zelaya Simanjuntak,Aplikasinya bagus banget!,4,2024-04-12 10:57:50,4.1.0
"Elisa Nashiruddin, S.E.","Males banget, tiap buka loading terus.",2,2024-02-23 16:00:18,4.1.0
"Rachel Suryatmi, S.Sos","Lemot bgt app ini, fix uninstall.",1,2024-04-12 3:34:39,4.1.0
Alambana Lazuardi,"Sipp, gk ada masalah, mantap.",4,2024-05-29 21:30:30,4.1.0
Ir. Lasmanto Palastri,"Sipp, gk ada masalah, mantap.",5,2024-08-25 13:56:13,4.1.0
Nadine Maryadi,Aplikasinya suka ngelag parah,1,2024-01-30 23:41:23,4.1.0
Sutan Joko Wasita,Lambat banget! ga enak dipake,2,2024-03-21 11:14:38,4.1.0
Drs. Harjaya Situmorang,Aplikasinya suka ngelag parah,3,2024-01-31 23:35:13,4.1.0
Tasnim Mansur,"App-nya keren, mantul!",4,2024-09-15 16:19:31,4.1.0
Faizah Haryanto,"Cepat dan responsif, saya suka.",5,2024-01-19 22:40:21,4.1.0
dr. Ade Tarihoran,Lambat banget! ga enak dipake,3,2024-03-18 17:12:56,4.1.0
Bella Nurdiyanti,Aplikasinya suka ngelag parah,2,2024-07-29 0:12:30,4.1.0
R. Paulin Mahendra,"Sipp, gk ada masalah, mantap.",4,2024-02-11 12:26:01,4.1.0
Paramita Latupono,"Aduh app-nya error mulu, ga bener.",1,2024-06-20 14:10:26,4.1.0
Raharja Farida,Aplikasinya bagus banget!,4,2024-01-05 7:22:57,4.1.0
"Tasnim Prasetyo, S.Kom","Lancar jaya bro, gk ada error.",4,2024-07-08 4:09:32,4.1.0
Gadang Thamrin,"Lemot bgt app ini, fix uninstall.",1,2024-03-18 22:34:29,4.1.0
T. Kanda Hariyah,"Lemot bgt app ini, fix uninstall.",1,2024-07-01 13:50:46,4.1.0
Tgk. Kamaria Hutasoit,"Pokoknya juara, the best dah.",4,2024-10-04 23:04:26,4.1.0
Cici Natsir,"Payah, gk bisa dipake sama sekali.",3,2024-10-21 7:15:18,4.1.0
Zaenab Hariyah,Udah nyoba berkali-kali tetep gk bisa.,1,2024-09-30 16:17:07,4.1.0
T. Karta Aryani,"Lancar jaya bro, gk ada error.",5,2024-08-29 0:17:05,4.1.0
"Melinda Hutasoit, M.Farm","Males banget, tiap buka loading terus.",1,2024-05-29 3:40:57,4.1.0
Syahrini Wibisono,"Cepat dan responsif, saya suka.",4,2024-08-07 18:37:35,4.1.0
Karsa Laksita,"Pokoknya juara, the best dah.",4,2024-04-21 21:36:50,4.1.0
"KH. Maman Nasyiah, M.TI.","Sering eror, ga recommended.",3,2024-10-06 10:41:22,4.1.0
"Ir. Bakijan Setiawan, S.Sos",Aplikasinya suka ngelag parah,1,2024-04-05 6:29:42,4.1.0
Cakrabuana Budiyanto,"Males banget, tiap buka loading terus.",3,2024-07-14 1:13:45,4.1.0
Yance Pratiwi,"Males banget, tiap buka loading terus.",2,2024-09-20 18:47:03,4.1.0
Slamet Pradipta,Aplikasinya bagus banget!,5,2024-06-08 23:18:47,4.1.0
Anita Purwanti,"Layanan memuaskan, fitur lengkap.",5,2024-05-13 6:30:44,4.1.0
Irma Tampubolon,"App-nya keren, mantul!",4,2024-04-26 6:30:23,4.1.0
"Ir. Chelsea Habibi, S.Gz","Aduh app-nya error mulu, ga bener.",2,2024-10-12 22:02:32,4.1.0
"Puspa Halim, M.Kom.","App-nya keren, mantul!",5,2024-06-29 0:24:04,4.1.0
"Dr. Yuni Pertiwi, S.Kom","Cepat dan responsif, saya suka.",4,2024-09-14 1:33:33,4.1.0
"Cawisono Astuti, S.E.","Cepat dan responsif, saya suka.",5,2024-01-12 7:37:50,4.1.0
"Puti Siti Mardhiyah, S.Pd","Lancar jaya bro, gk ada error.",4,2024-09-12 10:38:10,4.1.0
Aurora Yuliarti,Lambat banget! ga enak dipake,3,2024-06-06 12:19:03,4.1.0
Ira Wulandari,"Lemot bgt app ini, fix uninstall.",2,2024-08-04 1:20:35,4.1.0
"Bancar Hariyah, M.Kom.","Sering eror, ga recommended.",1,2024-01-16 11:44:36,4.1.0
"Rahmi Suartini, S.E.I",Lambat banget! ga enak dipake,2,2024-01-25 21:05:00,4.1.0
Ihsan Manullang,"Pokoknya juara, the best dah.",4,2024-06-20 3:57:44,4.1.0
"Hasna Sihotang, S.T.","App-nya keren, mantul!",4,2024-05-07 16:28:38,4.1.0
drg. Soleh Maulana,Udah nyoba berkali-kali tetep gk bisa.,2,2024-10-22 14:19:29,4.1.0
Mala Uwais,Aplikasinya suka ngelag parah,3,2024-10-16 11:48:36,4.1.0
"Ir. Gawati Kurniawan, S.E.","Aduh app-nya error mulu, ga bener.",3,2024-03-18 12:57:27,4.1.0
Prayitna Palastri,"Pokoknya juara, the best dah.",5,2024-01-01 9:17:01,4.1.0
Tiara Anggriawan,Udah nyoba berkali-kali tetep gk bisa.,1,2024-05-28 9:57:54,4.1.0
Pranawa Suryatmi,Aplikasinya suka ngelag parah,1,2024-01-10 19:38:31,4.1.0
"Ir. Margana Mandala, M.TI.","Sipp, gk ada masalah, mantap.",4,2024-07-04 2:52:41,4.1.0
Drs. Lintang Hartati,"Aduh app-nya error mulu, ga bener.",1,2024-03-22 18:38:35,4.1.0
"Yessi Haryanto, S.Farm","Gak bisa checkout, tolong perbaiki dong!",3,2024-03-15 1:20:51,4.1.0
Azalea Hutasoit,"Sipp, gk ada masalah, mantap.",4,2024-02-15 4:34:36,4.1.0
"Tgk. Gawati Hassanah, M.Pd","Aduh app-nya error mulu, ga bener.",1,2024-04-15 4:09:10,4.1.0
Gadang Pertiwi,"Males banget, tiap buka loading terus.",3,2024-05-07 4:28:47,4.1.0
Dadi Maryadi,Udah nyoba berkali-kali tetep gk bisa.,2,2024-06-26 7:35:49,4.1.0
"Natalia Farida, M.Farm","Payah, gk bisa dipake sama sekali.",1,2024-02-10 12:10:37,4.1.0
"dr. Cinta Kurniawan, S.Farm","Lemot bgt app ini, fix uninstall.",2,2024-03-26 10:05:01,4.1.0
Cengkal Samosir,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-10-11 14:02:27,4.1.0
"Karya Halimah, S.E.",Aplikasinya bagus banget!,4,2024-05-07 23:53:23,4.1.0
"Pangestu Januar, S.E.I","Cepat dan responsif, saya suka.",4,2024-07-21 22:55:18,4.1.0
"Drs. Lanang Nurdiyanti, S.Psi","Gak bisa checkout, tolong perbaiki dong!",3,2024-10-19 10:37:14,4.1.0
"Puti Elma Wijaya, S.Psi","Mantul, pokoknya aplikasi ini juara deh!",4,2024-07-26 9:26:56,4.1.0
"Cagak Prasetyo, M.Pd","Lemot bgt app ini, fix uninstall.",3,2024-02-05 22:25:58,4.1.0
"Kasiyah Sitompul, S.Farm","Gak bisa checkout, tolong perbaiki dong!",2,2024-01-25 4:13:51,4.1.0
"H. Karsa Maheswara, S.H.","Males banget, tiap buka loading terus.",3,2024-02-28 16:31:10,4.1.0
"Cut Nadia Waluyo, S.E.I","Lancar jaya bro, gk ada error.",5,2024-01-31 4:16:01,4.1.0
T. Banawi Mangunsong,"Gak bisa checkout, tolong perbaiki dong!",3,2024-04-07 3:26:56,4.1.0
Galih Sitompul,"Payah, gk bisa dipake sama sekali.",2,2024-01-25 21:08:12,4.1.0
Cemeti Safitri,Udah nyoba berkali-kali tetep gk bisa.,2,2024-09-27 6:16:40,4.1.0
Salsabila Mahendra,"App-nya keren, mantul!",4,2024-01-06 19:36:53,4.1.0
"Rahmat Pertiwi, S.I.Kom","App-nya keren, mantul!",4,2024-10-09 13:18:15,4.1.0
"Nilam Wastuti, S.Sos","Sering eror, ga recommended.",3,2024-04-21 14:56:31,4.1.0
"Gina Wijaya, M.M.",Aplikasinya bagus banget!,4,2024-09-26 13:07:57,4.1.0
"Kenes Widiastuti, S.T.","Gagal terus, tolong dong diperbaiki!",2,2024-03-29 22:35:52,4.1.0
Aurora Sihotang,"Sipp, gk ada masalah, mantap.",4,2024-03-02 13:23:40,4.1.0
Sakti Andriani,Aplikasinya suka ngelag parah,3,2024-02-02 7:20:11,4.1.0
"Vinsen Hartati, S.Ked",Aplikasinya bagus banget!,4,2024-08-09 18:01:55,4.1.0
Rahayu Prasetya,Udah nyoba berkali-kali tetep gk bisa.,1,2024-08-19 9:13:03,4.1.0
"Fitria Simbolon, M.Farm","Layanan memuaskan, fitur lengkap.",5,2024-01-19 12:23:08,4.1.0
Puji Tampubolon,"App-nya keren, mantul!",5,2024-04-16 11:06:41,4.1.0
Siska Mulyani,Udah nyoba berkali-kali tetep gk bisa.,1,2024-07-03 16:54:27,4.1.0
Estiono Riyanti,"App-nya keren, mantul!",4,2024-04-02 12:01:14,4.1.0
"Dr. Kartika Riyanti, S.H.",Aplikasinya suka ngelag parah,2,2024-09-15 10:21:08,4.1.0
Atmaja Pratama,"Mantap, semuanya lancar.",4,2024-05-28 13:18:59,4.1.0
Rahayu Utama,"Gak bisa checkout, tolong perbaiki dong!",3,2024-06-30 1:57:43,4.1.0
Heryanto Hardiansyah,"Sering eror, ga recommended.",3,2024-02-27 5:18:21,4.1.0
"Juli Widiastuti, M.Farm","Lancar jaya bro, gk ada error.",5,2024-07-06 13:36:44,4.1.0
Artawan Firgantoro,Aplikasinya bagus banget!,4,2024-03-31 21:18:47,4.1.0
"R. Naradi Latupono, S.E.","Aduh app-nya error mulu, ga bener.",1,2024-03-18 2:29:59,4.1.0
"Ismail Widodo, S.Pd","Sipp, gk ada masalah, mantap.",5,2024-02-13 21:27:37,4.1.0
"Karya Wibowo, M.TI.","Gak bisa checkout, tolong perbaiki dong!",3,2024-07-18 14:07:08,4.1.0
Drs. Soleh Sihombing,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-08-01 10:44:33,4.1.0
Karimah Mahendra,"Cepat dan responsif, saya suka.",5,2024-06-28 17:48:29,4.1.0
"Dr. Clara Samosir, S.E.I","Males banget, tiap buka loading terus.",3,2024-01-19 16:22:29,4.1.0
dr. Najwa Firgantoro,"Cepat dan responsif, saya suka.",5,2024-02-17 6:27:05,4.1.0
Uli Widodo,Aplikasinya suka ngelag parah,2,2024-04-05 18:50:28,4.1.0
Ilsa Nurdiyanti,"Males banget, tiap buka loading terus.",2,2024-02-19 9:01:03,4.1.0
Cinthia Budiman,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-08-22 4:49:51,4.1.0
"Nadia Situmorang, S.H.","Sipp, gk ada masalah, mantap.",4,2024-04-03 12:31:54,4.1.0
Hesti Sinaga,Udah nyoba berkali-kali tetep gk bisa.,1,2024-06-10 21:13:24,4.1.0
"Tiara Januar, S.Pd",Lambat banget! ga enak dipake,3,2024-09-08 13:19:52,4.1.0
Nabila Putra,,1,2024-07-12 17:15:20,4.1.0
T. Gaiman Wijaya,"Pokoknya juara, the best dah.",4,2024-08-14 6:18:01,4.1.0
Gina Prayoga,Aplikasinya suka ngelag parah,1,2024-08-19 11:34:33,4.1.0
"Tgk. Queen Halimah, M.Farm","Aduh app-nya error mulu, ga bener.",3,2024-09-20 5:19:48,4.1.0
Nova Hardiansyah,"Sering eror, ga recommended.",3,2024-07-12 13:05:06,4.1.0
"Kemal Melani, S.Kom","Gagal terus, tolong dong diperbaiki!",2,2024-01-22 2:27:45,4.1.0
Mursita Anggriawan,"App-nya keren, mantul!",5,2024-01-13 11:50:08,4.1.0
Vicky Pangestu,"Gagal terus, tolong dong diperbaiki!",1,2024-01-05 3:45:29,4.1.0
Ajiman Anggriawan,"Sipp, gk ada masalah, mantap.",4,2024-02-05 20:13:49,4.1.0
"Drs. Bahuraksa Zulaika, S.T.","Lancar jaya bro, gk ada error.",5,2024-09-04 22:34:21,4.1.0
"Hj. Elma Samosir, S.H.","Sipp, gk ada masalah, mantap.",5,2024-06-17 6:35:10,4.1.0
"Luwar Nurdiyanti, S.IP",Lambat banget! ga enak dipake,3,2024-08-09 12:58:45,4.1.0
"Tgk. Tina Sirait, M.M.","Gak bisa checkout, tolong perbaiki dong!",3,2024-09-15 14:24:30,4.1.0
Hamima Nugroho,Aplikasinya bagus banget!,5,2024-07-19 17:26:57,4.1.0
Fitriani Hutapea,"Gak bisa checkout, tolong perbaiki dong!",2,2024-06-26 5:51:17,4.1.0
H. Kawaya Nurdiyanti,"Gak bisa checkout, tolong perbaiki dong!",3,2024-04-18 3:44:12,4.1.0
R.M. Karma Pangestu,"Gak bisa checkout, tolong perbaiki dong!",3,2024-08-13 9:37:02,4.1.0
Aisyah Sirait,"Payah, gk bisa dipake sama sekali.",1,2024-02-24 8:39:31,4.1.0
Jelita Sitompul,"Cepat dan responsif, saya suka.",5,2024-03-02 6:57:25,4.1.0
"Parman Permata, S.I.Kom","Lemot bgt app ini, fix uninstall.",3,2024-06-15 11:19:06,4.1.0
Bahuwarna Puspita,Aplikasinya suka ngelag parah,1,2024-05-17 20:47:56,4.1.0
Ghaliyati Santoso,Lambat banget! ga enak dipake,1,2024-03-22 15:37:35,4.1.0
Irnanto Siregar,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-08-26 22:15:29,4.1.0
Uda Pradana,"Payah, gk bisa dipake sama sekali.",2,2024-09-03 14:34:35,4.1.0
"Usman Kuswandari, S.Sos",Aplikasinya suka ngelag parah,2,2024-06-21 23:40:38,4.1.0
Rachel Saragih,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-09-11 5:15:24,4.1.0
Rina Megantara,Lambat banget! ga enak dipake,2,2024-09-02 8:47:49,4.1.0
"Dr. Tina Haryanti, M.TI.","Lemot bgt app ini, fix uninstall.",2,2024-08-04 19:06:04,4.1.0
"Anastasia Astuti, S.H.","Payah, gk bisa dipake sama sekali.",1,2024-04-29 13:45:00,4.1.0
Vega Saragih,Lambat banget! ga enak dipake,2,2024-01-09 16:22:26,4.1.0
Kusuma Andriani,"Cepat dan responsif, saya suka.",4,2024-02-05 9:55:23,4.1.0
"Emin Siregar, M.Ak","Sipp, gk ada masalah, mantap.",5,2024-03-14 10:13:47,4.1.0
Yuni Andriani,"Payah, gk bisa dipake sama sekali.",1,2024-04-17 2:17:45,4.1.0
Uchita Farida,"Gak bisa checkout, tolong perbaiki dong!",3,2024-01-20 4:01:43,4.1.0
"Unjani Mayasari, S.I.Kom","Gak bisa checkout, tolong perbaiki dong!",2,2024-08-16 11:14:34,4.1.0
Hasna Saptono,"App-nya keren, mantul!",5,2024-08-16 3:40:28,4.1.0
Hendra Maulana,Lambat banget! ga enak dipake,1,2024-05-09 7:22:41,4.1.0
Garda Damanik,"Payah, gk bisa dipake sama sekali.",1,2024-05-17 11:19:46,4.1.0
"Alika Widiastuti, S.Kom","Aduh app-nya error mulu, ga bener.",2,2024-07-03 23:47:19,4.1.0
"Sutan Cagak Nasyiah, M.Pd","Gak bisa checkout, tolong perbaiki dong!",2,2024-08-22 12:06:35,4.1.0
"Dt. Lukman Prasetyo, S.E.","Aduh app-nya error mulu, ga bener.",1,2024-07-04 8:15:39,4.1.0
"Cut Olivia Pudjiastuti, S.Psi","Mantap, semuanya lancar.",4,2024-05-14 17:23:20,4.1.0
Galuh Hariyah,"Gagal terus, tolong dong diperbaiki!",2,2024-05-12 15:54:55,4.1.0
"drg. Belinda Firgantoro, S.H.",Aplikasinya bagus banget!,4,2024-02-15 8:18:22,4.1.0
Pardi Tarihoran,"App-nya keren, mantul!",5,2024-07-08 12:50:58,4.1.0
R. Ulya Putra,Lambat banget! ga enak dipake,2,2024-02-15 5:20:42,4.1.0
Cecep Tarihoran,"Lancar jaya bro, gk ada error.",5,2024-02-14 4:34:46,4.1.0
Daliman Hasanah,"App ini mantap betul, gk kecewa.",4,2024-01-05 7:17:55,4.1.0
"R.M. Budi Farida, S.I.Kom","Aduh app-nya error mulu, ga bener.",2,2024-04-02 2:26:50,4.1.0
Fathonah Handayani,Aplikasinya bagus banget!,5,2024-05-03 11:28:48,4.1.0
Humaira Utama,Udah nyoba berkali-kali tetep gk bisa.,3,2024-02-18 17:20:52,4.1.0
Edison Laksmiwati,"App ini mantap betul, gk kecewa.",4,2024-08-25 2:39:57,4.1.0
KH. Warji Suryono,"Lancar jaya bro, gk ada error.",5,2024-10-03 16:50:42,4.1.0
"Drs. Hamima Nurdiyanti, S.E.","Males banget, tiap buka loading terus.",1,2024-06-20 20:17:07,4.1.0
"Jayadi Sirait, S.Pd","Lemot bgt app ini, fix uninstall.",2,2024-05-15 5:23:18,4.1.0
"Ir. Asmadi Uwais, S.Farm","Pokoknya juara, the best dah.",4,2024-06-02 6:39:05,4.1.0
Ciaobella Gunawan,"Gak bisa checkout, tolong perbaiki dong!",3,2024-07-21 3:22:22,4.1.0
Gara Latupono,,2,2024-06-20 2:20:43,4.1.0
Rudi Handayani,Udah nyoba berkali-kali tetep gk bisa.,2,2024-01-02 20:36:22,4.1.0
Bahuraksa Utama,"Cepat dan responsif, saya suka.",5,2024-02-16 12:51:01,4.1.0
Puti Astuti,"Pokoknya juara, the best dah.",4,2024-02-01 7:06:40,4.1.0
Banara Widiastuti,"App ini mantap betul, gk kecewa.",5,2024-05-22 7:28:44,4.1.0
"Tgk. Fathonah Oktaviani, S.H.",Lambat banget! ga enak dipake,1,2024-01-18 5:06:22,4.1.0
R. Safina Kusumo,"Payah, gk bisa dipake sama sekali.",1,2024-05-27 11:54:09,4.1.0
"Rusman Iswahyudi, S.E.I",Aplikasinya suka ngelag parah,3,2024-08-29 5:30:25,4.1.0
Tgk. Widya Purwanti,"App ini mantap betul, gk kecewa.",5,2024-01-14 10:44:57,4.1.0
Zalindra Mangunsong,"Payah, gk bisa dipake sama sekali.",1,2024-03-18 3:00:49,4.1.0
Yulia Pudjiastuti,"Sering eror, ga recommended.",2,2024-08-22 14:55:53,4.1.0
"drg. Sarah Utama, S.T.","Cepat dan responsif, saya suka.",5,2024-04-07 13:42:00,4.1.0
"Laras Pratiwi, M.TI.","Layanan memuaskan, fitur lengkap.",5,2024-01-18 13:18:13,4.1.0
"Lanang Ramadan, S.E.I","Payah, gk bisa dipake sama sekali.",1,2024-09-16 12:23:08,4.1.0
Paiman Hariyah,Lambat banget! ga enak dipake,2,2024-08-20 7:55:00,4.1.0
Mulyanto Santoso,"Lemot bgt app ini, fix uninstall.",3,2024-04-21 16:05:22,4.1.0
Pardi Mangunsong,"Gak bisa checkout, tolong perbaiki dong!",3,2024-07-18 10:20:51,4.1.0
"R. Pia Saptono, M.Pd",Lambat banget! ga enak dipake,1,2024-02-22 15:51:00,4.1.0
"Drs. Wulan Hassanah, M.Kom.","Males banget, tiap buka loading terus.",2,2024-03-18 11:21:45,4.1.0
Aisyah Adriansyah,"Payah, gk bisa dipake sama sekali.",1,2024-02-02 8:55:07,4.1.0
dr. Jono Zulaika,Lambat banget! ga enak dipake,3,2024-10-10 3:50:56,4.1.0
Widya Pudjiastuti,"Layanan memuaskan, fitur lengkap.",5,2024-10-21 9:39:59,4.1.0
Sarah Wahyuni,Lambat banget! ga enak dipake,2,2024-01-08 20:37:30,4.1.0
Kariman Dabukke,"Gak bisa checkout, tolong perbaiki dong!",1,2024-10-08 1:11:45,4.1.0
"Puti Maimunah Sudiati, M.M.","Payah, gk bisa dipake sama sekali.",3,2024-05-12 22:44:23,4.1.0
Raden Purwanti,"Gak bisa checkout, tolong perbaiki dong!",2,2024-08-29 15:24:33,4.1.0
Ilsa Wahyuni,Aplikasinya suka ngelag parah,3,2024-07-11 11:50:58,4.1.0
"Dt. Aditya Mayasari, S.Kom",Aplikasinya suka ngelag parah,1,2024-09-14 14:27:13,4.1.0
"R.A. Icha Rahmawati, M.Ak","Males banget, tiap buka loading terus.",3,2024-03-14 16:48:21,4.1.0
Lalita Pertiwi,"Payah, gk bisa dipake sama sekali.",2,2024-10-18 10:54:22,4.1.0
"Hj. Dalima Kuswoyo, M.Farm","Males banget, tiap buka loading terus.",3,2024-02-17 16:57:24,4.1.0
Dt. Lukita Irawan,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-09-09 13:36:02,4.1.0
"Padma Zulaika, M.Farm",Udah nyoba berkali-kali tetep gk bisa.,1,2024-03-09 12:32:29,4.1.0
Mulyanto Kurniawan,"Cepat dan responsif, saya suka.",5,2024-10-15 14:04:48,4.1.0
